Trial,Parameters,Value
40,"{'learning_rate': 0.0015308363364810616, 'weight_decay': 0.0006130362587405244, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.16737882653061226
41,"{'learning_rate': 0.005542749485659726, 'weight_decay': 0.000825946315230799, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.18541733099489796
42,"{'learning_rate': 0.006779863859075769, 'weight_decay': 0.0007962526373505844, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.16940569196428573
43,"{'learning_rate': 0.0038263719910321503, 'weight_decay': 0.0008350634331224578, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.18715322066326529
44,"{'learning_rate': 0.016098258974513405, 'weight_decay': 0.0007830683375382747, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.13330078125
45,"{'learning_rate': 0.005889464629388411, 'weight_decay': 0.0006037390536037319, 'optimizer': 'SGD', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.01978435905612245
46,"{'learning_rate': 0.0036968901270876793, 'weight_decay': 2.691813493548458e-05, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': True, 'batch_size': 1024}",0.18273875956632651
47,"{'learning_rate': 0.0014836846975245105, 'weight_decay': 0.000407411785183787, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.16552136479591836
48,"{'learning_rate': 0.04957660598942335, 'weight_decay': 0.00029984154592765716, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.05503627232142857
49,"{'learning_rate': 0.00820037389588841, 'weight_decay': 0.0008628975852541731, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.1684590242346939
